City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,New Norfolk,AU,2022-03-08 20:37:20,-42.7826,147.0587,44.1,74,0,1.5
130,Tiksi,RU,2022-03-08 20:33:24,71.6872,128.8694,-26.93,100,52,1.54
131,Hanzhong,CN,2022-03-08 20:37:20,33.0728,107.0303,56.17,64,5,0.6
132,Gorontalo,ID,2022-03-08 20:37:21,0.5412,123.0595,74.77,95,95,2.08
133,Launceston,AU,2022-03-08 20:37:22,-41.45,147.1667,47.16,83,19,10.36
134,Inhambane,MZ,2022-03-08 20:37:22,-23.865,35.3833,74.79,78,14,6.82
135,Erzurum,TR,2022-03-08 20:37:23,40.0,41.5,29.88,95,100,4.12
136,Ploemeur,FR,2022-03-08 20:37:23,47.7333,-3.4333,47.86,93,20,6.91
137,Zhanaozen,KZ,2022-03-08 20:37:24,43.3,52.8,40.55,51,37,8.81
138,Suihua,CN,2022-03-08 20:37:24,46.6406,126.9969,19.08,99,98,2.21
139,Saint-Philippe,RE,2022-03-08 20:37:25,-21.3585,55.7679,78.39,84,58,10.42
140,Shemursha,RU,2022-03-08 20:37:25,54.8866,47.5189,9.84,95,100,7.9
141,Cabo San Lucas,MX,2022-03-08 20:38:26,22.8909,-109.9124,80.62,47,0,10.36
142,Kuytun,RU,2022-03-08 20:38:26,54.3419,101.5036,25.74,87,99,20.4
143,Kalmunai,LK,2022-03-08 20:38:27,7.4167,81.8167,76.41,79,18,6.69
144,Freeport,US,2022-03-08 20:38:28,40.6576,-73.5832,48.78,37,0,16.11
145,Penzance,GB,2022-03-08 20:38:28,50.1186,-5.5371,48.88,80,66,14.97
146,Nemuro,JP,2022-03-08 20:34:35,43.3236,145.575,27.28,80,11,11.25
147,Half Moon Bay,US,2022-03-08 20:38:29,37.4636,-122.4286,74.05,30,0,10.36
148,La Romana,DO,2022-03-08 20:38:29,18.4273,-68.9728,84.56,61,40,9.22
149,Birjand,IR,2022-03-08 20:38:30,32.8663,59.2211,54.07,43,40,6.91
150,Inirida,CO,2022-03-08 20:38:30,3.8653,-67.9239,86.27,65,97,1.39
151,Lubumbashi,CD,2022-03-08 20:38:31,-11.6609,27.4794,65.03,97,100,4.97
152,Rovaniemi,FI,2022-03-08 20:38:31,66.5,25.7167,20.61,93,100,4.61
153,Ferrol,ES,2022-03-08 20:38:32,43.4832,-8.2369,50.58,81,75,10.11
154,Tecpan,GT,2022-03-08 20:36:53,14.7623,-90.9947,70.56,58,68,7.0
155,Jieshi,CN,2022-03-08 20:38:33,22.8134,115.8257,58.95,74,5,14.79
156,Sumenep,ID,2022-03-08 20:38:33,-7.0167,113.8667,78.04,85,100,2.01
157,Luderitz,NA,2022-03-08 20:38:34,-26.6481,15.1594,68.11,79,0,13.18
158,Xinzhi,CN,2022-03-08 20:38:35,36.4989,111.7047,52.09,40,17,2.71
159,Vestmannaeyjar,IS,2022-03-08 20:35:53,63.4427,-20.2734,41.95,79,75,32.97
160,Saint-Joseph,RE,2022-03-08 20:38:35,-21.3667,55.6167,77.38,84,47,8.88
161,Gusau,NG,2022-03-08 20:38:36,12.1628,6.6614,86.7,12,5,7.76
162,Iskateley,RU,2022-03-08 20:38:37,67.6803,53.1512,-2.31,98,100,8.99
163,Bethel,US,2022-03-08 20:34:11,41.3712,-73.414,45.54,42,47,1.01
164,Lucea,JM,2022-03-08 20:38:37,18.451,-78.1736,82.26,74,28,10.4
165,Butaritari,KI,2022-03-08 20:38:38,3.0707,172.7902,81.41,76,99,14.94
166,Santo Antonio Do Amparo,BR,2022-03-08 20:38:39,-20.9464,-44.9189,73.02,73,84,2.35
167,Axim,GH,2022-03-08 20:38:39,4.8699,-2.2405,80.35,86,42,6.82
168,Severo-Kurilsk,RU,2022-03-08 20:35:45,50.6789,156.125,30.99,89,63,8.03
169,Bredasdorp,ZA,2022-03-08 20:38:40,-34.5322,20.0403,70.29,83,45,12.66
170,Narsaq,GL,2022-03-08 20:36:07,60.9167,-46.05,10.62,74,2,6.38
171,Ponta Do Sol,PT,2022-03-08 20:38:41,32.6667,-17.1,60.71,73,100,1.7
172,Ust-Tsilma,RU,2022-03-08 20:38:41,65.441,52.1498,-11.72,100,85,3.31
173,Yumen,CN,2022-03-08 20:38:42,40.2833,97.2,43.07,25,16,7.63
174,Samarai,PG,2022-03-08 20:38:42,-10.6167,150.6667,83.35,78,19,10.83
175,Bonavista,CA,2022-03-08 20:38:43,48.6499,-53.1147,38.12,81,96,35.88
176,Merauke,ID,2022-03-08 20:38:43,-8.4667,140.3333,75.78,95,100,11.83
177,Fortuna,US,2022-03-08 20:38:44,40.5982,-124.1573,67.19,67,0,16.11
178,Kloulklubed,PW,2022-03-08 20:38:46,7.0419,134.2556,75.7,79,60,7.25
179,Waitati,NZ,2022-03-08 20:38:46,-45.75,170.5667,58.8,78,92,4.47
180,Lanchyn,UA,2022-03-08 20:38:47,48.5578,24.7562,26.08,91,100,7.0
181,Scarisoara,RO,2022-03-08 20:38:48,44.0,24.5667,34.18,80,19,3.65
182,Mandla,IN,2022-03-08 20:38:48,22.6,80.3833,68.36,29,12,2.91
183,Luwuk,ID,2022-03-08 20:38:48,-0.9516,122.7875,77.23,88,80,0.96
184,Iqaluit,CA,2022-03-08 20:38:49,63.7506,-68.5145,-4.27,59,40,13.8
185,Cherskiy,RU,2022-03-08 20:37:19,68.75,161.3,-3.24,93,100,1.21
186,West Bay,KY,2022-03-08 20:39:50,19.3667,-81.4167,87.87,70,20,9.22
187,Port-Cartier,CA,2022-03-08 20:39:50,50.0334,-66.8654,28.62,71,20,21.36
188,Poronaysk,RU,2022-03-08 20:39:51,49.2167,143.1167,3.69,98,23,1.97
189,Celestun,MX,2022-03-08 20:39:51,20.8667,-90.4,83.26,65,70,10.38
190,Vardo,NO,2022-03-08 20:35:08,70.3705,31.1107,31.75,93,0,17.27
191,Puerto Escondido,MX,2022-03-08 20:39:52,15.85,-97.0667,85.03,65,40,11.5
192,Morondava,MG,2022-03-08 20:39:53,-20.2833,44.2833,82.44,72,97,13.96
193,Jega,NG,2022-03-08 20:39:53,12.2175,4.3792,85.23,11,5,9.91
194,Vila Velha,BR,2022-03-08 20:39:54,-20.3297,-40.2925,84.15,65,20,10.36
195,Zhezkazgan,KZ,2022-03-08 20:39:54,47.8043,67.7144,10.29,86,83,8.77
196,Manitouwadge,CA,2022-03-08 20:39:55,49.1215,-85.8403,29.12,91,100,15.73
197,Boyuibe,BO,2022-03-08 20:39:55,-20.4167,-63.2833,87.71,84,100,2.35
198,Ostrovnoy,RU,2022-03-08 20:39:56,68.0531,39.5131,20.82,92,100,11.74
199,Macheng,CN,2022-03-08 20:39:56,31.1783,115.0319,52.81,66,0,3.13
200,Te Anau,NZ,2022-03-08 20:39:57,-45.4167,167.7167,61.29,76,34,1.3
201,Lluta,PE,2022-03-08 20:39:57,-16.0147,-72.0142,46.67,95,100,7.14
202,Libenge,CD,2022-03-08 20:39:58,3.65,18.6333,82.18,46,92,2.59
203,Bubaque,GW,2022-03-08 20:39:58,11.2833,-15.8333,76.48,70,80,12.53
204,Jiwani,PK,2022-03-08 20:39:59,25.05,61.7417,73.83,82,98,7.56
205,Pochutla,MX,2022-03-08 20:39:59,15.7432,-96.4661,88.83,40,39,8.9
206,Payson,US,2022-03-08 20:38:31,40.0444,-111.7321,39.25,53,100,3.0
207,West Wendover,US,2022-03-08 20:40:00,40.7391,-114.0733,45.61,34,100,12.66
208,Cockburn Town,TC,2022-03-08 20:37:40,21.4612,-71.1419,80.56,65,40,13.8
