City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Limache,CL,-33.0167,-71.2667,68.7,38,0,7.81,clear sky
258,Boa Vista,BR,2.8197,-60.6733,91.38,46,75,9.22,broken clouds
259,Lavrentiya,RU,65.5833,-171.0,8.78,72,1,8.68,clear sky
260,Kukushtan,RU,57.6464,56.4952,-5.4,98,26,2.86,scattered clouds
261,Thompson,CA,55.7435,-97.8558,-2.04,50,20,8.05,few clouds
262,Pombia,IT,45.653,8.6336,46.26,71,40,6.91,scattered clouds
263,Port Moresby,PG,-9.4431,147.1797,74.62,94,40,9.22,scattered clouds
264,Portoferraio,IT,42.8115,10.3146,54.52,93,0,11.5,clear sky
265,Abu Kamal,SY,34.4506,40.9171,48.92,49,8,14.09,clear sky
266,College,US,64.8569,-147.8028,15.91,48,20,6.91,few clouds
267,Komsomolskiy,UZ,40.4272,71.7189,50.72,87,75,2.3,mist
268,Buala,SB,-8.145,159.5921,80.24,80,92,5.06,overcast clouds
269,Wajir,KE,1.7471,40.0573,87.37,29,4,9.22,clear sky
270,Nardaran,AZ,40.5561,50.0056,38.84,93,100,16.11,overcast clouds
271,Campoverde,PE,-8.4753,-74.8058,83.89,48,62,3.09,broken clouds
272,Nha Trang,VN,12.25,109.1833,77.0,91,93,7.25,overcast clouds
273,Talnakh,RU,69.4865,88.3972,-24.9,98,77,8.25,broken clouds
274,Lasa,IT,46.6166,10.7002,36.7,98,100,3.87,overcast clouds
275,Lamu,KE,-2.2717,40.902,80.82,78,80,13.71,broken clouds
276,Gat,IL,31.61,34.7642,52.48,100,100,11.92,overcast clouds
277,Omsukchan,RU,62.5333,155.8,-6.93,100,55,3.98,broken clouds
278,Lagoa,PT,39.05,-27.9833,61.23,87,100,25.14,overcast clouds
279,Victoria,HK,22.2855,114.1577,70.25,89,5,4.0,clear sky
280,Grindavik,IS,63.8424,-22.4338,39.15,87,40,17.27,scattered clouds
281,San Cristobal,VE,7.7669,-72.225,77.18,79,83,3.04,broken clouds
282,Saint-Joseph,RE,-21.3667,55.6167,77.38,82,23,11.12,few clouds
283,Luang Prabang,LA,19.8856,102.1347,75.99,73,7,2.17,clear sky
284,Hasaki,JP,35.7333,140.8333,45.0,59,1,9.46,clear sky
285,Nevelsk,RU,46.6733,141.8633,33.69,89,100,7.56,overcast clouds
286,Ahipara,NZ,-35.1667,173.1667,66.42,76,8,5.1,clear sky
287,Awbari,LY,26.5921,12.7805,56.28,26,0,9.93,clear sky
288,Pevek,RU,69.7008,170.3133,-5.22,80,1,3.04,clear sky
289,Nalut,LY,30.3333,10.85,57.29,26,0,6.31,clear sky
290,Isangel,VU,-19.55,169.2667,79.36,80,7,2.59,clear sky
291,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,88,75,9.22,broken clouds
292,Malanville,BJ,11.8685,3.3899,91.26,12,93,7.27,overcast clouds
293,Kenai,US,60.5544,-151.2583,38.03,98,100,5.75,light rain
294,Honiara,SB,-9.4333,159.95,77.61,88,97,0.72,overcast clouds
295,Rurrenabaque,BO,-14.4413,-67.5278,87.69,79,40,0.0,scattered clouds
296,Katsuura,JP,35.1333,140.3,54.48,67,0,10.47,clear sky
297,Ferrol,ES,43.4832,-8.2369,51.67,73,98,10.89,overcast clouds
298,Rorvik,NO,64.8621,11.2373,39.31,75,0,3.44,clear sky
299,Beroroha,MG,-21.6667,45.1667,78.78,78,100,1.14,light rain
300,Iwanai,JP,42.9744,140.5089,35.35,78,90,11.54,overcast clouds
301,Samarai,PG,-10.6167,150.6667,82.6,77,94,10.94,overcast clouds
