City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
392,Jilib,SO,76.15,clear sky,0.4883,42.7854,Waadi Hotel
393,Magdalena,PH,79.36,overcast clouds,14.1999,121.429,Samparada & Gestiada Residences
398,Limbang,MY,75.31,overcast clouds,4.75,115.0,Purnama Hotel
402,Vredendal,ZA,79.39,overcast clouds,-31.6683,18.5012,Tharrakamma Guest House
403,Pochutla,MX,88.83,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
404,Itarema,BR,75.4,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
406,Abu Dhabi,AE,84.31,clear sky,24.4667,54.3667,Beach Rotana
410,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
412,Pilar,BR,85.93,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
418,Isabela,PH,78.37,scattered clouds,6.7085,121.9711,Isawad Resort
423,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
427,El Carmen,CO,79.59,scattered clouds,8.5106,-73.4478,Hotel La Casona
432,Teahupoo,PF,78.76,scattered clouds,-17.8333,-149.2667,Vanira Lodge
435,Araguacu,BR,85.77,broken clouds,-12.9306,-49.8264,Hotel Tocantins
436,Gashua,NG,81.16,broken clouds,12.871,11.0482,Forte Oil - Old Lorry Park
437,Muli,MV,82.65,clear sky,2.9167,73.5667,Medhufushi Island Resort
443,Navolato,MX,82.63,clear sky,24.7672,-107.6944,Cofradía de San pedro Navolato sinaloa
446,Caravelas,BR,81.82,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
452,Hadejia,NG,83.16,scattered clouds,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
457,Kahului,US,81.97,broken clouds,20.8947,-156.47,Maui Seaside Hotel
462,Ternate,ID,80.74,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
463,Dwarka,IN,76.62,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
464,Itaituba,BR,86.16,moderate rain,-4.2761,-55.9836,Hotel Campos
467,Talara,PE,83.16,clear sky,-4.5772,-81.2719,Hostal Oro Negro
473,Funtua,NG,80.04,scattered clouds,11.5233,7.3081,Sani Jikan Mallam Hotel
474,Omboue,GA,79.25,light rain,-1.5746,9.2618,Hotel Olako
480,Kikwit,CD,75.9,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
484,Coxim,BR,87.58,overcast clouds,-18.5067,-54.76,Hotel Avenida
486,Buchanan,LR,80.4,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
487,General Roca,AR,78.67,clear sky,-39.0333,-67.5833,Hotel El Recreo
489,Sao Jose Da Coroa Grande,BR,81.68,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
494,Kollam,IN,78.22,clear sky,8.8833,76.6,The Raviz Ashtamudi
497,Lamas,PE,82.87,broken clouds,-6.4167,-76.5333,Peru Selva Tarapoto Lamas Linda
498,Porto Novo,BJ,83.64,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
499,Road Town,VG,82.44,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
500,Arica,CL,81.95,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
502,Yenagoa,NG,80.42,moderate rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
504,Mackay,AU,76.68,broken clouds,-21.15,149.2,International Lodge Motel
506,Carutapera,BR,75.0,overcast clouds,-1.195,-46.02,Lidera
508,Atar,MR,77.94,clear sky,20.5169,-13.0499,Oumou Elghoura
514,Butterworth,MY,82.44,few clouds,5.3991,100.3638,Cititel Penang
515,Chiredzi,ZW,76.64,broken clouds,-21.05,31.6667,Clevers Hotel Chiredzi
516,Manhuacu,BR,76.35,scattered clouds,-20.2581,-42.0336,Real Contabilidade e Real Imóveis
517,Nhulunbuy,AU,81.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
521,Hambantota,LK,78.53,scattered clouds,6.1241,81.1185,Bungalow 63
527,Camana,PE,76.19,broken clouds,-16.6228,-72.7111,Hostal Morales
533,Denpasar,ID,78.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
537,Xuddur,SO,80.85,overcast clouds,4.1213,43.8894,Banjanay Hotel
541,Hervey Bay,AU,75.02,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
542,Kannur,IN,75.99,clear sky,11.8675,75.3576,Asokam Beach Resort and Ayurveda Chikitsa Kendram
543,Fayaoue,NC,81.0,few clouds,-20.65,166.5333,Chez Dydyce Guesthouse
549,Natal,BR,86.22,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
554,Tecoanapa,MX,85.37,few clouds,16.5167,-98.75,Hotel Manglares
561,Dan Khun Thot,TH,81.46,clear sky,15.2085,101.7714,Sai Thong Hotel
562,Mitsamiouli,KM,82.45,overcast clouds,-11.3847,43.2844,Foyer ADM
568,Nerkunram,IN,78.31,clear sky,12.69,79.8531,The Spicy Garden
574,Samana,DO,88.02,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
582,Agua Branca,BR,79.41,overcast clouds,-5.8922,-42.6361,Água branca do Piauí pi
585,Katubao,PH,80.51,overcast clouds,5.8892,124.8294,IML Ecopark
587,Tete,MZ,77.14,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
590,San Isidro,PE,77.5,clear sky,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
591,Male,MV,82.35,few clouds,4.1748,73.5089,Hotel Octave Maldives
592,Viedma,AR,75.74,clear sky,-40.8135,-62.9967,Hotel Cristal
598,Tabou,CI,80.17,broken clouds,4.423,-7.3528,hotêl doufoulougou
600,Luwuk,ID,78.28,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
601,Cap Malheureux,MU,77.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
603,Lorengau,PG,80.44,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
604,Kieta,PG,77.23,few clouds,-6.2167,155.6333,Uruna Bay Retreat
605,Tabas,IR,77.99,overcast clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
616,Quatre Cocos,MU,78.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
620,Altamira,BR,84.29,overcast clouds,-3.2033,-52.2064,Requinte Hotel
621,Axim,GH,81.9,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
622,Meulaboh,ID,76.91,overcast clouds,4.1363,96.1285,Kost Pria
625,Zabid,YE,77.95,scattered clouds,14.1951,43.3152,مغرب التريبه
626,Puerto Baquerizo Moreno,EC,81.59,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
628,Waingapu,ID,78.73,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
631,Tanete,ID,76.68,moderate rain,-3.9443,119.7848,Wisma Tri Multi
637,Paredon,MX,86.25,clear sky,16.0333,-93.8667,Hotel Principal Paredon
639,Davila,PH,76.98,scattered clouds,18.4726,120.5763,Blue Ridge Beach Resort
659,Gusau,NG,87.06,scattered clouds,12.1628,6.6614,GUEST INN
661,Camopi,GF,77.43,overcast clouds,3.1655,-52.3158,La pousada
669,Bhadrachalam,IN,75.88,clear sky,17.6667,80.8833,Hotel Srinidhi Residency
671,Manzanillo,CU,87.58,scattered clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
673,Sao Joao Da Barra,BR,80.2,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
674,Kilindoni,TZ,81.46,overcast clouds,-7.9139,39.6668,Bustani B&B
677,Luganville,VU,80.02,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
680,Bubaque,GW,76.08,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
681,Tomatlan,MX,87.73,clear sky,19.9333,-105.25,El Salvial
